Name,City,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,Reviews
R & H cafe gallery,London,"Cafe, Middle Eastern, Persian, Vegetarian Friendly, Vegan Options, Gluten Free Options",1,5,$$ - $$$,146,"Amazing cakes, Breakfatst, 01/08/2018, 01/03/2018"
Osteria Romana,London,"Italian, Mediterranean, Vegetarian Friendly",2,5,$$$$,112,"Small restaurant with the touch of Italian..., One of the best, 01/07/2018, 01/07/2018"
The Oystermen Seafood Bar & Kitchen,London,"Seafood, British, Gluten Free Options",3,5,$$ - $$$,255,"Fantasic!!, Superb Food, Warm and Welcoming Hospitalit..., 01/08/2018, 01/07/2018"
Liman Restaurant,London,"Mediterranean, European, Turkish, Middle Eastern, Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",4,5,$$ - $$$,945,"A good experience, Excellent Establishment - Kunefe was Quite..., 01/07/2018, 12/31/2017"
Holy Smoke,London,"International, Vegetarian Friendly, Gluten Free Options, Vegan Options",5,5,$$ - $$$,433,"Always consistently good food and service, Excellent food and drink with personal ser..., 12/22/2017, 12/18/2017"
The Ledbury,London,"French, European, British, Vegetarian Friendly, Vegan Options, Gluten Free Options",6,4.5,$$$$,2535,"Decades New, A Sublime Evening to Cherish, Flawless, 01/07/2018, 01/06/2018"
The Clink Restaurant,London,"European, British, Contemporary, Vegetarian Friendly, Vegan Options, Gluten Free Options",7,5,$$ - $$$,588,"Weird but such a good experience!, Fantastic food and such a great project, 12/26/2017, 12/20/2017"
Bar 61 Restaurant,London,"Mediterranean, European, Spanish, Vegetarian Friendly, Vegan Options, Gluten Free Options",8,5,$$ - $$$,1730,"A Gem of a Tapas Bar!, Very good, 01/08/2018, 01/08/2018"
Taste Of Nawab,London,"Asian, Bangladeshi, Indian, Balti, Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",9,5,$$ - $$$,520,"Amazing takeaway, Amazing Restaurant!, 01/07/2018, 12/31/2017"
Pizza Union Aldgate,London,"Italian, Pizza, Fast Food, Vegetarian Friendly, Vegan Options, Gluten Free Options",10,5,$,369,"Fast and tasty, Great pizza, 01/07/2018, 01/04/2018"
Core by Clare Smyth,London,"French, Irish, European, British, Contemporary, Vegetarian Friendly, Gluten Free Options, Vegan Options",11,5,$$$$,99,"Outstanding, Outstanding, 01/07/2018, 01/05/2018"
taNgia,London,"Moroccan, Mediterranean, Grill, Vegetarian Friendly, Vegan Options, Halal",12,5,$$ - $$$,539,"""Delicious! Christmas meal "", Delicious! Highly recommend!, 01/07/2018, 01/01/2018"
Gastronhome,London,"French, Gluten Free Options, Vegetarian Friendly, Vegan Options",13,5,$$$$,572,"Not expected there, Excellent dinnee, 12/25/2017, 12/16/2017"
Fishers Fish and Chips,London,"Seafood, Fast Food, British, Gluten Free Options",14,4.5,$,647,"Small but great, The absolute best!, 01/06/2018, 01/02/2018"
Zeret Kitchen,London,"African, Ethiopian, Vegetarian Friendly, Vegan Options, Gluten Free Options",15,5,$$ - $$$,474,"Excellent Service, Delicious and Authentic..., Eat with your hands and try new flavours!, 01/08/2018, 12/27/2017"
The Golden Chippy,London,"Seafood, Fast Food, British",16,5,$,1015,"Best in London! Best food, best guys!, The Golden Chippy at Greenwich, 01/08/2018, 01/06/2018"
The Five Fields,London,"European, British, Contemporary, Vegetarian Friendly, Vegan Options, Gluten Free Options",17,5,$$$$,1129,"Special Dining Experience, Top restaurant, 01/04/2018, 01/03/2018"
Pizza Union Spitalfields,London,"Pizza, Fast Food, Vegetarian Friendly, Vegan Options, Gluten Free Options",18,4.5,$,1211,"Great spot at the east !, Well worth visiting. Pizza out of this wor..., 01/08/2018, 01/08/2018"
Peninsula Restaurant,London,"European, British, Vegetarian Friendly, Vegan Options, Gluten Free Options",19,5,$$$$,228,"A Delightful Celebration, Marvellous restaurant!!, 12/29/2017, 12/23/2017"
Kibele Restaurant & Bar,London,"Mediterranean, European, Turkish, Middle Eastern, Vegetarian Friendly, Vegan Options, Gluten Free Options, Halal",20,5,$$ - $$$,273,"Birthday treat, After show meal, 01/05/2018, 12/28/2017"
Fiddie’s Italian Kitchen,London,"Italian, Pizza, Mediterranean, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",21,4.5,$$ - $$$,955,"Lovely owners, Wonderful food, 01/08/2018, 01/07/2018"
Loro di Napoli,London,"Italian, Pizza, Vegetarian Friendly, Vegan Options",22,4.5,$,425,"A great find ..., Best pizza in London..at the very least, 01/07/2018, 01/06/2018"
The Prince of Wales,London,"Bar, British, Pub, Vegetarian Friendly, Vegan Options, Gluten Free Options",23,4.5,$$ - $$$,401,"Really nice place with really delicious fo..., Great place, 01/05/2018, 01/02/2018"
Ormer Mayfair,London,"European, British, Vegetarian Friendly, Vegan Options, Gluten Free Options",24,4.5,$$ - $$$,318,"EXCELLENT, Excellent food and service, 01/07/2018, 01/06/2018"
Marianne Restaurant,London,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",25,4.5,$$$$,510,"Great time and excellent food, an absolute delight- just go there, 12/19/2017, 12/18/2017"
Chez Elles,London,"Wine Bar, French, European, Vegetarian Friendly, Gluten Free Options",26,4.5,$$ - $$$,464,"Amazing taste of French food, Birthday Meal, 01/04/2018, 12/18/2017"
La Trompette,London,"French, European, Vegetarian Friendly, Gluten Free Options, Vegan Options",27,4.5,$$$$,866,"MAGNIFICENT, Birthday Dinner, 12/31/2017, 12/19/2017"
TortelliniCup London,London,"Italian, Fast Food, Mediterranean, Gastropub, Vegetarian Friendly, Gluten Free Options, Vegan Options",28,4.5,$,841,"Best Tortelloni in town! Visiting almost e..., Overpriced but Tasty!, 01/08/2018, 12/30/2017"
Raison Detre,London,"French, Cafe, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",29,4.5,$,472,"Great little place, Breakfasts, 01/07/2018, 01/06/2018"
Wolkite,London,"African, Ethiopian, Vegetarian Friendly, Vegan Options, Gluten Free Options",30,4.5,$,405,"Extraordinary culinar treat, Exceptional Ethiopian food in London, 01/06/2018, 01/03/2018"
Anjanaas,London,"Indian, Asian, Vegetarian Friendly, Vegan Options, Gluten Free Options",31,4.5,$$ - $$$,288,"Wow, Yummy dosa, 01/06/2018, 01/06/2018"
Humble Grape,London,"European, Wine Bar, Bar, Mediterranean, British, Vegetarian Friendly",32,4.5,$$ - $$$,642,"Ask for Ben!, Great night out, 01/07/2018, 01/07/2018"
Andys Greek Taverna,London,"Seafood, Mediterranean, Greek, Vegetarian Friendly, Vegan Options, Gluten Free Options",33,4.5,$$ - $$$,815,"Birthday meze, Unbelievable, 01/08/2018, 01/08/2018"
MezzoRoma Lounge,London,"Italian, Pizza, British, Vegetarian Friendly, Vegan Options, Gluten Free Options",34,4.5,$$ - $$$,284,"Nice evening, Amazing Italian, 01/08/2018, 01/07/2018"
Baileys Fish and Chips,London,"Seafood, Fast Food, British, Vegetarian Friendly, Gluten Free Options",35,4.5,$,1551,"Such a lovely experience, Great food and service, 12/31/2017, 12/29/2017"
Humble Grape,London,"Mediterranean, European, Contemporary, Wine Bar, Vegetarian Friendly, Vegan Options, Gluten Free Options",36,4.5,$$ - $$$,265,"Nice lunch!, Rather impressed, 01/05/2018, 12/27/2017"
Proud Cabaret Camden,London,"British, International, Vegetarian Friendly, Vegan Options, Gluten Free Options",37,4.5,$$ - $$$,1444,"Such a great night!!, Burlesque at Proud Cabaret Camden, 01/08/2018, 01/06/2018"
Mere,London,"European, Vegetarian Friendly, Vegan Options, Gluten Free Options",38,4.5,$$$$,236,"Fabulous lunch on a cold day., Excellent Food and Excellent Hosts., 01/08/2018, 01/03/2018"
Seven Park Place,London,"French, European, Gluten Free Options, Vegetarian Friendly",39,4.5,$$$$,630,"A great menu, Delicious food and excellent service, 12/31/2017, 12/16/2017"
E Pellicci,London,"Italian, Cafe, British, Vegetarian Friendly, Vegan Options, Gluten Free Options",40,4.5,$,624,"Loved it, Great food!, 01/04/2018, 12/31/2017"
Iran Restaurant,London,"Middle Eastern, Persian, Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",41,4.5,$$ - $$$,1550,"Delicious, A fantastic find, 01/06/2018, 01/05/2018"
The Sitara,London,"Indian, Asian, Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",42,4.5,$$ - $$$,461,"Might well be the best Indian in London, Fantastic food, 01/07/2018, 01/03/2018"
The Foyer At Claridges,London,"European, British, Vegetarian Friendly, Vegan Options, Gluten Free Options",43,4.5,$$$$,1263,"Perfect, ""Xmas dinner at Claridges wonderful exper..."", 01/05/2018, 12/27/2017"
Typing Room,London,"European, British, Vegetarian Friendly, Gluten Free Options, Vegan Options",44,4.5,$$$$,459,"Smart, modern and thoughtful cooking, Exceeded Expectations!, 12/21/2017, 12/10/2017"
Awesome Thai,London,"Asian, Thai, Vegetarian Friendly, Vegan Options, Gluten Free Options",45,4.5,$$ - $$$,491,"Awesomely Lives Up To It’s Name!, Fantastic as per usual, 01/07/2018, 01/07/2018"
Bel Canto Restaurant,London,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",46,4.5,$$$$,1059,"Fabulous evening!!, Dinner date, 12/31/2017, 12/25/2017"
Leicester Square Kitchen,London,"Mexican, Peruvian, Vegetarian Friendly, Vegan Options, Gluten Free Options",47,4.5,$$$$,518,"Pre Theatre, Dinner, 01/08/2018, 01/06/2018"
Afternoon Tea at Claridges,London,"British, Vegetarian Friendly, Vegan Options, Gluten Free Options",48,4.5,$$$$,888,"Outstanding customer service with deliciou..., ""Lovely afternoon tea at Claridges"", 01/07/2018, 01/07/2018"
CERU,London,"Lebanese, Mediterranean, Turkish, Middle Eastern, Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",49,4.5,$$ - $$$,323,"Super food / super service / great options..., Amazing good and lovely staff!, 01/08/2018, 01/08/2018"
Wiltons,London,"Seafood, European, British, Vegetarian Friendly, Gluten Free Options",50,4.5,$$$$,678,"Fabulous lunch - couldn’t fault it, Excellent again but..beware ....., 01/06/2018, 01/01/2018"
Hankies Cafe,London,"Indian, Asian, Grill, Street Food, Vegetarian Friendly, Vegan Options, Gluten Free Options",51,4.5,$$ - $$$,216,"Home delivery review, Spice before Spa, 01/06/2018, 01/05/2018"
Pied a Terre,London,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",52,4.5,$$$$,971,"Great value brilliant lunch!, Innovative food in a cosy setting, 12/29/2017, 12/28/2017"
Alexander The Great,London,"Mediterranean, Greek, Vegetarian Friendly, Vegan Options, Gluten Free Options",53,4.5,$$ - $$$,1103,"Best Greek food!!, Kyris was a great help!, 01/08/2018, 01/05/2018"
Pizza Union Kings Cross,London,"Italian, Pizza, Fast Food, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",54,4.5,$,941,"Yummy!, Great fast cheap pizza place near Kings Cr..., 01/07/2018, 01/07/2018"
Medlar,London,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",55,4.5,$$$$,840,"Total gem in Chelsea, Very very well executed modern French cuis..., 01/03/2018, 01/03/2018"
